qrCode,location,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,block,row,range,plotNumber,genotype,plantingDate,totalStandCount,daysToAnthesis,GDDToAnthesis,yieldPerAcre
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5207ROW8$RANGE21$@2369 X PHP02,Lincoln,0,Low,75,75,17.5,2,8,21,5207,2369 X PHP02,5/16/23,49.0,59.0,1296.725,85.57
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5209ROW10$RANGE21$@B73 X PHM49,Lincoln,0,Low,75,75,17.5,2,10,21,5209,B73 X PHM49,5/16/23,48.0,67.0,1475.175,74.54
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5210ROW11$RANGE21$@PHW52 X PHZ51,Lincoln,0,Low,75,75,17.5,2,11,21,5210,PHW52 X PHZ51,5/16/23,41.0,64.0,1408.025,87.37
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5211ROW12$RANGE21$@LH82 X PHB47,Lincoln,0,Low,75,75,17.5,2,12,21,5211,LH82 X PHB47,5/16/23,48.0,61.0,1344.175,108.98
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5213ROW14$RANGE21$@F42 X OH43,Lincoln,0,Low,75,75,17.5,2,14,21,5213,F42 X OH43,5/16/23,57.0,64.0,1408.025,109.88
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5214ROW15$RANGE21$@PHK76 X LH82,Lincoln,0,Low,75,75,17.5,2,15,21,5214,PHK76 X LH82,5/16/23,2.0,66.0,1452.275,43.34
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5215ROW16$RANGE21$@PHB47 X 3IIH6,Lincoln,0,Low,75,75,17.5,2,16,21,5215,PHB47 X 3IIH6,5/16/23,50.0,62.0,1364.975,86.92
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5217ROW18$RANGE21$@F42 X MO17,Lincoln,0,Low,75,75,17.5,2,18,21,5217,F42 X MO17,5/16/23,51.0,67.0,1475.175,83.32
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5218ROW19$RANGE21$@PHK56 X LH198,Lincoln,0,Low,75,75,17.5,2,19,21,5218,PHK56 X LH198,5/16/23,40.0,66.0,1452.275,112.38
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5220ROW21$RANGE21$@PHP02 X LH198,Lincoln,0,Low,75,75,17.5,2,21,21,5220,PHP02 X LH198,5/16/23,44.0,63.0,1385.875,97.43
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5222ROW23$RANGE21$@LH198 X PHZ51,Lincoln,0,Low,75,75,17.5,2,23,21,5222,LH198 X PHZ51,5/16/23,53.0,64.0,1408.025,84.61
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5223ROW24$RANGE21$@SYNGENTA NK0659-3120-EZ1,Lincoln,0,Low,75,75,17.5,2,24,21,5223,SYNGENTA NK0659-3120-EZ1,5/16/23,47.0,61.0,1344.175,115.39
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5224ROW25$RANGE21$@4N506 X 3IIH6,Lincoln,0,Low,75,75,17.5,2,25,21,5224,4N506 X 3IIH6,5/16/23,60.0,64.0,1408.025,110.68
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5225ROW26$RANGE21$@LH82 X W606S,Lincoln,0,Low,75,75,17.5,2,26,21,5225,LH82 X W606S,5/16/23,43.0,62.0,1364.975,98.32
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4001ROW2$RANGE2$@PHK76 X W606S,Lincoln,0,Medium,150,150,17.5,3,2,2,4001,PHK76 X W606S,5/16/23,49.0,64.0,1408.025,110.45
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4002ROW3$RANGE2$@K64 X KYS,Lincoln,0,Medium,150,150,17.5,3,3,2,4002,K64 X KYS,5/16/23,44.0,75.0,1695.325,46.4
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4004ROW5$RANGE2$@C.I. 540 X OS426,Lincoln,0,Medium,150,150,17.5,3,5,2,4004,C.I. 540 X OS426,5/16/23,63.0,66.0,1452.275,44.29
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4005ROW6$RANGE2$@PHP02 X PHN46,Lincoln,0,Medium,150,150,17.5,3,6,2,4005,PHP02 X PHN46,5/16/23,46.0,61.0,1344.175,102.64
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4006ROW7$RANGE2$@KYS X OS426,Lincoln,0,Medium,150,150,17.5,3,7,2,4006,KYS X OS426,5/16/23,47.0,73.0,1644.075,45.93
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4007ROW8$RANGE2$@PHK56 X 3IIH6,Lincoln,0,Medium,150,150,17.5,3,8,2,4007,PHK56 X 3IIH6,5/16/23,44.0,63.0,1385.875,116.91
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4009ROW10$RANGE2$@SYNGENTA NK0659-3120-EZ1,Lincoln,0,Medium,150,150,17.5,3,10,2,4009,SYNGENTA NK0659-3120-EZ1,5/16/23,59.0,62.0,1364.975,129.99
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4010ROW11$RANGE2$@PHK76 X 3IIH6,Lincoln,0,Medium,150,150,17.5,3,11,2,4010,PHK76 X 3IIH6,5/16/23,53.0,61.0,1344.175,95.25
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4011ROW12$RANGE2$@SYNGENTA NK0760-3111,Lincoln,0,Medium,150,150,17.5,3,12,2,4011,SYNGENTA NK0760-3111,5/16/23,65.0,65.0,1431.075,163.56
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4013ROW14$RANGE2$@PHK76 X LH198,Lincoln,0,Medium,150,150,17.5,3,14,2,4013,PHK76 X LH198,5/16/23,68.0,64.0,1408.025,137.66
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4014ROW15$RANGE2$@PHN46 X PHK56,Lincoln,0,Medium,150,150,17.5,3,15,2,4014,PHN46 X PHK56,5/16/23,42.0,61.0,1344.175,102.06
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4015ROW16$RANGE2$@LH82 X W606S,Lincoln,0,Medium,150,150,17.5,3,16,2,4015,LH82 X W606S,5/16/23,54.0,62.0,1364.975,118.3
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4017ROW18$RANGE2$@B7 X A344,Lincoln,0,Medium,150,150,17.5,3,18,2,4017,B7 X A344,5/16/23,59.0,64.0,1408.025,49.75
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4018ROW19$RANGE2$@PHP02 X W606S,Lincoln,0,Medium,150,150,17.5,3,19,2,4018,PHP02 X W606S,5/16/23,42.0,61.0,1344.175,109.02
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4019ROW20$RANGE2$@66 X OS426,Lincoln,0,Medium,150,150,17.5,3,20,2,4019,66 X OS426,5/16/23,47.0,65.0,1431.075,42.7
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4020ROW21$RANGE2$@L 289 X OS426,Lincoln,0,Medium,150,150,17.5,3,21,2,4020,L 289 X OS426,5/16/23,47.0,65.0,1431.075,26.72
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4022ROW23$RANGE2$@PHK56 X PHJ89,Lincoln,0,Medium,150,150,17.5,3,23,2,4022,PHK56 X PHJ89,5/16/23,39.0,63.0,1385.875,120.79
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4023ROW24$RANGE2$@PHP02 X PHK76,Lincoln,0,Medium,150,150,17.5,3,24,2,4023,PHP02 X PHK76,5/16/23,41.0,57.0,1249.125,108.65
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4025ROW26$RANGE2$@KYS X I159,Lincoln,0,Medium,150,150,17.5,3,26,2,4025,KYS X I159,5/16/23,54.0,76.0,1719.375,50.59
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4026ROW2$RANGE3$@B37 X H95,Lincoln,0,Medium,150,150,17.5,3,2,3,4026,B37 X H95,5/16/23,60.0,67.0,1475.175,57.29
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4027ROW3$RANGE3$@B84 X 3IIH6,Lincoln,0,Medium,150,150,17.5,3,3,3,4027,B84 X 3IIH6,5/16/23,41.0,64.0,1408.025,79.43
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4029ROW5$RANGE3$@4N506 X 3IIH6,Lincoln,0,Medium,150,150,17.5,3,5,3,4029,4N506 X 3IIH6,5/16/23,59.0,65.0,1431.075,105.88
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4030ROW6$RANGE3$@LH195 X LH123HT,Lincoln,0,Medium,150,150,17.5,3,6,3,4030,LH195 X LH123HT,5/16/23,56.0,66.0,1452.275,111.91
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4031ROW7$RANGE3$@PHP02 X PHB47,Lincoln,0,Medium,150,150,17.5,3,7,3,4031,PHP02 X PHB47,5/16/23,34.0,60.0,1319.975,97.21
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4032ROW8$RANGE3$@LH195 X LH185,Lincoln,0,Medium,150,150,17.5,3,8,3,4032,LH195 X LH185,5/16/23,39.0,65.0,1431.075,116.42
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4034ROW10$RANGE3$@2FACC X 3IIH6,Lincoln,0,Medium,150,150,17.5,3,10,3,4034,2FACC X 3IIH6,5/16/23,40.0,63.0,1385.875,100.54
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4035ROW11$RANGE3$@PHT69 X 3IIH6,Lincoln,0,Medium,150,150,17.5,3,11,3,4035,PHT69 X 3IIH6,5/16/23,51.0,60.0,1319.975,107.41
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4036ROW12$RANGE3$@LH145 X LH162,Lincoln,0,Medium,150,150,17.5,3,12,3,4036,LH145 X LH162,5/16/23,55.0,60.0,1319.975,62.31
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4038ROW14$RANGE3$@LH82 X PHB47,Lincoln,0,Medium,150,150,17.5,3,14,3,4038,LH82 X PHB47,5/16/23,64.0,61.0,1344.175,102.42
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4039ROW15$RANGE3$@PHK56 X LH198,Lincoln,0,Medium,150,150,17.5,3,15,3,4039,PHK56 X LH198,5/16/23,55.0,62.0,1364.975,131.29
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4040ROW16$RANGE3$@66 X I159,Lincoln,0,Medium,150,150,17.5,3,16,3,4040,66 X I159,5/16/23,44.0,70.0,1555.275,49.67
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4042ROW18$RANGE3$@K201 X I159,Lincoln,0,Medium,150,150,17.5,3,18,3,4042,K201 X I159,5/16/23,20.0,72.0,1614.625,84.75
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4043ROW19$RANGE3$@PHK56 X LH82,Lincoln,0,Medium,150,150,17.5,3,19,3,4043,PHK56 X LH82,5/16/23,47.0,61.0,1344.175,94.4
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4044ROW20$RANGE3$@PHK76 X LH145,Lincoln,0,Medium,150,150,17.5,3,20,3,4044,PHK76 X LH145,5/16/23,57.0,60.0,1319.975,119.8
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4045ROW21$RANGE3$@K64 X CI 3A,Lincoln,0,Medium,150,150,17.5,3,21,3,4045,K64 X CI 3A,5/16/23,32.0,75.0,1695.325,48.27
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4047ROW23$RANGE3$@66 X A344,Lincoln,0,Medium,150,150,17.5,3,23,3,4047,66 X A344,5/16/23,44.0,59.0,1296.725,70.4
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4048ROW24$RANGE3$@B7 X OS426,Lincoln,0,Medium,150,150,17.5,3,24,3,4048,B7 X OS426,5/16/23,58.0,65.0,1431.075,49.72
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4050ROW26$RANGE3$@2369 X PHP02,Lincoln,0,Medium,150,150,17.5,3,26,3,4050,2369 X PHP02,5/16/23,50.0,61.0,1344.175,90.81
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4051ROW2$RANGE4$@B14A X MO17,Lincoln,0,Medium,150,150,17.5,3,2,4,4051,B14A X MO17,5/16/23,63.0,65.0,1431.075,121.7
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4054ROW5$RANGE4$@B73 X PHZ51,Lincoln,0,Medium,150,150,17.5,3,5,4,4054,B73 X PHZ51,5/16/23,62.0,65.0,1431.075,103.18
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4056ROW7$RANGE4$@PHW52 X LH185,Lincoln,0,Medium,150,150,17.5,3,7,4,4056,PHW52 X LH185,5/16/23,49.0,66.0,1452.275,109.83
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4057ROW8$RANGE4$@LH195 X PHM49,Lincoln,0,Medium,150,150,17.5,3,8,4,4057,LH195 X PHM49,5/16/23,50.0,67.0,1475.175,107.48
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4059ROW10$RANGE4$@F42 X MO17,Lincoln,0,Medium,150,150,17.5,3,10,4,4059,F42 X MO17,5/16/23,54.0,64.0,1408.025,109.72
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4060ROW11$RANGE4$@PHW52 X PHZ51,Lincoln,0,Medium,150,150,17.5,3,11,4,4060,PHW52 X PHZ51,5/16/23,45.0,64.0,1408.025,97.3
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4064ROW15$RANGE4$@PHP02 X PHJ89,Lincoln,0,Medium,150,150,17.5,3,15,4,4064,PHP02 X PHJ89,5/16/23,47.0,58.0,1273.775,99.05
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4065ROW16$RANGE4$@PHP02 X LH145,Lincoln,0,Medium,150,150,17.5,3,16,4,4065,PHP02 X LH145,5/16/23,36.0,58.0,1273.775,71.09
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4067ROW18$RANGE4$@PHJ40 X LH82,Lincoln,0,Medium,150,150,17.5,3,18,4,4067,PHJ40 X LH82,5/16/23,52.0,60.0,1319.975,89.3
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4068ROW19$RANGE4$@PHN46 X W606S,Lincoln,0,Medium,150,150,17.5,3,19,4,4068,PHN46 X W606S,5/16/23,27.0,66.0,1452.275,126.45
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4069ROW20$RANGE4$@PHP02 X LH185,Lincoln,0,Medium,150,150,17.5,3,20,4,4069,PHP02 X LH185,5/16/23,19.0,61.0,1344.175,91.2
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4070ROW21$RANGE4$@OS426 X CI 3A,Lincoln,0,Medium,150,150,17.5,3,21,4,4070,OS426 X CI 3A,5/16/23,43.0,70.0,1555.275,44.5
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4072ROW23$RANGE4$@66 X B7,Lincoln,0,Medium,150,150,17.5,3,23,4,4072,66 X B7,5/16/23,44.0,66.0,1452.275,66.82
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4073ROW24$RANGE4$@K64 X I159,Lincoln,0,Medium,150,150,17.5,3,24,4,4073,K64 X I159,5/16/23,45.0,74.0,1670.625,89.72
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4075ROW26$RANGE4$@PHK56 X LH145,Lincoln,0,Medium,150,150,17.5,3,26,4,4075,PHK56 X LH145,5/16/23,34.0,59.0,1296.725,98.05
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4076ROW2$RANGE5$@PHB47 X PHK56,Lincoln,0,Medium,150,150,17.5,3,2,5,4076,PHB47 X PHK56,5/16/23,52.0,62.0,1364.975,112.62
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4077ROW3$RANGE5$@PHW52 X PHM49,Lincoln,0,Medium,150,150,17.5,3,3,5,4077,PHW52 X PHM49,5/16/23,36.0,65.0,1431.075,97.42
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4079ROW5$RANGE5$@PHZ51 X LH145,Lincoln,0,Medium,150,150,17.5,3,5,5,4079,PHZ51 X LH145,5/16/23,46.0,60.0,1319.975,80.64
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4080ROW6$RANGE5$@B73 X 3IIH6,Lincoln,0,Medium,150,150,17.5,3,6,5,4080,B73 X 3IIH6,5/16/23,48.0,63.0,1385.875,114.34
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4081ROW7$RANGE5$@LH195 X 3IIH6,Lincoln,0,Medium,150,150,17.5,3,7,5,4081,LH195 X 3IIH6,5/16/23,53.0,65.0,1431.075,124.81
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4082ROW8$RANGE5$@PHB47 X PHJ89,Lincoln,0,Medium,150,150,17.5,3,8,5,4082,PHB47 X PHJ89,5/16/23,46.0,62.0,1364.975,122.3
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4084ROW10$RANGE5$@2369 X 3IIH6,Lincoln,0,Medium,150,150,17.5,3,10,5,4084,2369 X 3IIH6,5/16/23,39.0,62.0,1364.975,67.28
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4085ROW11$RANGE5$@PHW52 X PHN82,Lincoln,0,Medium,150,150,17.5,3,11,5,4085,PHW52 X PHN82,5/16/23,43.0,64.0,1408.025,116.67
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4086ROW12$RANGE5$@B73 X PHN82,Lincoln,0,Medium,150,150,17.5,3,12,5,4086,B73 X PHN82,5/16/23,48.0,65.0,1431.075,119.66
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4088ROW14$RANGE5$@LH74 X PHM49,Lincoln,0,Medium,150,150,17.5,3,14,5,4088,LH74 X PHM49,5/16/23,42.0,65.0,1431.075,102.69
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4089ROW15$RANGE5$@LH82 X PHJ89,Lincoln,0,Medium,150,150,17.5,3,15,5,4089,LH82 X PHJ89,5/16/23,56.0,60.0,1319.975,94.04
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4090ROW16$RANGE5$@K64 X A344,Lincoln,0,Medium,150,150,17.5,3,16,5,4090,K64 X A344,5/16/23,44.0,66.0,1452.275,22.62
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4092ROW18$RANGE5$@K201 X OS426,Lincoln,0,Medium,150,150,17.5,3,18,5,4092,K201 X OS426,5/16/23,16.0,68.0,1499.325,62.97
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4093ROW19$RANGE5$@PHP02 X PHK56,Lincoln,0,Medium,150,150,17.5,3,19,5,4093,PHP02 X PHK56,5/16/23,42.0,62.0,1364.975,104.86
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4094ROW20$RANGE5$@C.I. 540 X I159,Lincoln,0,Medium,150,150,17.5,3,20,5,4094,C.I. 540 X I159,5/16/23,47.0,70.0,1555.275,22.62
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4095ROW21$RANGE5$@PHP02 X PHG47,Lincoln,0,Medium,150,150,17.5,3,21,5,4095,PHP02 X PHG47,5/16/23,45.0,61.0,1344.175,89.92
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4097ROW23$RANGE5$@K64 X OS426,Lincoln,0,Medium,150,150,17.5,3,23,5,4097,K64 X OS426,5/16/23,41.0,73.0,1644.075,44.29
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4098ROW24$RANGE5$@OS426 X I159,Lincoln,0,Medium,150,150,17.5,3,24,5,4098,OS426 X I159,5/16/23,53.0,67.0,1475.175,41.2
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4100ROW26$RANGE5$@'IOWA I 205' X I159,Lincoln,0,Medium,150,150,17.5,3,26,5,4100,'IOWA I 205' X I159,5/16/23,48.0,66.0,1452.275,45.96
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4101ROW2$RANGE6$@N209 X 3IIH6,Lincoln,0,Medium,150,150,17.5,3,2,6,4101,N209 X 3IIH6,5/16/23,55.0,67.0,1475.175,99.79
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4102ROW3$RANGE6$@LH198 X PHZ51,Lincoln,0,Medium,150,150,17.5,3,3,6,4102,LH198 X PHZ51,5/16/23,54.0,64.0,1408.025,92.07
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4104ROW5$RANGE6$@PHG39 X PHM49,Lincoln,0,Medium,150,150,17.5,3,5,6,4104,PHG39 X PHM49,5/16/23,40.0,69.0,1526.575,103.11
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4105ROW6$RANGE6$@F42 X OH43,Lincoln,0,Medium,150,150,17.5,3,6,6,4105,F42 X OH43,5/16/23,52.0,68.0,1499.325,107.21
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4106ROW7$RANGE6$@LH74 X PHN82,Lincoln,0,Medium,150,150,17.5,3,7,6,4106,LH74 X PHN82,5/16/23,46.0,67.0,1475.175,85.24
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4107ROW8$RANGE6$@WF9 X H95,Lincoln,0,Medium,150,150,17.5,3,8,6,4107,WF9 X H95,5/16/23,53.0,69.0,1526.575,76.98
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4109ROW10$RANGE6$@B73 X PHM49,Lincoln,0,Medium,150,150,17.5,3,10,6,4109,B73 X PHM49,5/16/23,48.0,68.0,1499.325,97.31
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4110ROW11$RANGE6$@B105 X 3IIH6,Lincoln,0,Medium,150,150,17.5,3,11,6,4110,B105 X 3IIH6,5/16/23,51.0,63.0,1385.875,101.39
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4111ROW12$RANGE6$@K201 X A344,Lincoln,0,Medium,150,150,17.5,3,12,6,4111,K201 X A344,5/16/23,8.0,64.0,1408.025,79.35
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4113ROW14$RANGE6$@CI 3A X I159,Lincoln,0,Medium,150,150,17.5,3,14,6,4113,CI 3A X I159,5/16/23,50.0,73.0,1644.075,41.51
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4114ROW15$RANGE6$@PHP02 X LH198,Lincoln,0,Medium,150,150,17.5,3,15,6,4114,PHP02 X LH198,5/16/23,27.0,62.0,1364.975,81.55
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$1$PLOT4115ROW16$RANGE6$@PHP02 X LH82,Lincoln,0,Medium,150,150,17.5,3,16,6,4115,PHP02 X LH82,5/16/23,47.0,58.0,1273.775,109.36
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4126ROW2$RANGE7$@SYNGENTA NK0760-3111,Lincoln,0,Medium,150,150,17.5,4,2,7,4126,SYNGENTA NK0760-3111,5/16/23,71.0,64.0,1408.025,122.66
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4127ROW3$RANGE7$@B73 X PHZ51,Lincoln,0,Medium,150,150,17.5,4,3,7,4127,B73 X PHZ51,5/16/23,38.0,68.0,1499.325,70.86
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4129ROW5$RANGE7$@B73 X PHN82,Lincoln,0,Medium,150,150,17.5,4,5,7,4129,B73 X PHN82,5/16/23,53.0,68.0,1499.325,131.65
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4130ROW6$RANGE7$@PHW52 X PHN82,Lincoln,0,Medium,150,150,17.5,4,6,7,4130,PHW52 X PHN82,5/16/23,47.0,68.0,1499.325,113.26
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4131ROW7$RANGE7$@B7 X A344,Lincoln,0,Medium,150,150,17.5,4,7,7,4131,B7 X A344,5/16/23,56.0,62.0,1364.975,59.93
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4132ROW8$RANGE7$@HOEGEMEYER 7089 AMXT,Lincoln,0,Medium,150,150,17.5,4,8,7,4132,HOEGEMEYER 7089 AMXT,5/16/23,36.0,61.0,1344.175,114.61
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4134ROW10$RANGE7$@66 X I159,Lincoln,0,Medium,150,150,17.5,4,10,7,4134,66 X I159,5/16/23,43.0,70.0,1555.275,64.92
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4135ROW11$RANGE7$@PHP02 X LH145,Lincoln,0,Medium,150,150,17.5,4,11,7,4135,PHP02 X LH145,5/16/23,49.0,57.0,1249.125,60.04
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4136ROW12$RANGE7$@2369 X 3IIH6,Lincoln,0,Medium,150,150,17.5,4,12,7,4136,2369 X 3IIH6,5/16/23,49.0,61.0,1344.175,145.25
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4138ROW14$RANGE7$@LH195 X 3IIH6,Lincoln,0,Medium,150,150,17.5,4,14,7,4138,LH195 X 3IIH6,5/16/23,43.0,67.0,1475.175,140.95
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4139ROW15$RANGE7$@LH185 X LH145,Lincoln,0,Medium,150,150,17.5,4,15,7,4139,LH185 X LH145,5/16/23,53.0,61.0,1344.175,105.49
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4140ROW16$RANGE7$@LH74 X PHN82,Lincoln,0,Medium,150,150,17.5,4,16,7,4140,LH74 X PHN82,5/16/23,55.0,67.0,1475.175,107.04
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4142ROW18$RANGE7$@PHN46 X PHK56,Lincoln,0,Medium,150,150,17.5,4,18,7,4142,PHN46 X PHK56,5/16/23,44.0,67.0,1475.175,101.81
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4143ROW19$RANGE7$@OS426 X CI 3A,Lincoln,0,Medium,150,150,17.5,4,19,7,4143,OS426 X CI 3A,5/16/23,45.0,70.0,1555.275,51.31
LINCOLN$HYBRID HIPS$150N$DRYLAND$REP$2$PLOT4144ROW20$RANGE7$@F42 X MO17,Lincoln,0,Medium,150,150,17.5,4,20,7,4144,F42 X MO17,5/16/23,48.0,67.0,1475.175,50.89
